Data,Open,High,Low,Close
15/08/2023 11:40:00,118.775,118.910,118.750,118.895
15/08/2023 11:35:00,118.805,118.850,118.565,118.775
15/08/2023 11:30:00,118.960,119.045,118.795,118.800
15/08/2023 11:25:00,119.115,119.135,118.955,118.960
15/08/2023 11:20:00,119.120,119.310,119.105,119.110
15/08/2023 11:15:00,119.225,119.245,119.025,119.115
15/08/2023 11:10:00,119.160,119.320,119.135,119.220
15/08/2023 11:05:00,119.185,119.205,119.000,119.160
15/08/2023 11:00:00,119.540,119.540,119.180,119.190
15/08/2023 10:55:00,119.610,119.610,119.400,119.540
15/08/2023 10:50:00,119.435,119.660,119.420,119.610
15/08/2023 10:45:00,119.465,119.525,119.320,119.425
15/08/2023 10:40:00,119.095,119.510,119.095,119.470
15/08/2023 10:35:00,119.395,119.410,119.050,119.095
15/08/2023 10:30:00,119.615,119.645,119.355,119.400
15/08/2023 10:25:00,119.600,119.710,119.510,119.615
15/08/2023 10:20:00,119.580,119.635,119.385,119.600
15/08/2023 10:15:00,119.870,119.885,119.560,119.585
15/08/2023 10:10:00,119.825,119.985,119.630,119.865
15/08/2023 10:05:00,119.650,119.865,119.590,119.815
15/08/2023 10:00:00,119.435,119.670,119.405,119.650
15/08/2023 09:55:00,119.590,119.595,119.390,119.430
15/08/2023 09:50:00,119.575,119.610,119.475,119.590
15/08/2023 09:45:00,119.440,119.595,119.375,119.575
15/08/2023 09:40:00,119.140,119.495,119.125,119.445
15/08/2023 09:35:00,119.375,119.380,119.095,119.140
15/08/2023 09:30:00,119.360,119.450,119.150,119.380
15/08/2023 09:25:00,119.085,119.360,119.050,119.360
15/08/2023 09:20:00,119.055,119.200,119.050,119.075
15/08/2023 09:15:00,119.235,119.275,119.025,119.060
15/08/2023 09:10:00,119.150,119.235,119.015,119.235
15/08/2023 09:05:00,118.800,119.180,118.670,119.145
15/08/2023 09:00:00,118.310,118.830,118.110,118.805
14/08/2023 17:50:00,119.050,119.145,119.035,119.105
14/08/2023 17:45:00,119.030,119.050,118.990,119.040
14/08/2023 17:40:00,119.180,119.190,119.010,119.030
14/08/2023 17:35:00,119.175,119.210,119.160,119.185
14/08/2023 17:30:00,119.240,119.245,119.145,119.170
14/08/2023 17:25:00,119.250,119.290,119.215,119.250
14/08/2023 17:20:00,119.195,119.255,119.190,119.255
14/08/2023 17:15:00,119.205,119.235,119.175,119.185
14/08/2023 17:10:00,119.215,119.220,119.155,119.195
14/08/2023 17:05:00,119.230,119.265,119.195,119.215
14/08/2023 17:00:00,119.250,119.260,119.175,119.235
14/08/2023 16:55:00,119.190,119.295,119.190,119.255
14/08/2023 16:50:00,119.180,119.280,119.175,119.180
14/08/2023 16:45:00,119.185,119.225,119.155,119.180
14/08/2023 16:40:00,119.100,119.210,119.085,119.175
14/08/2023 16:35:00,119.110,119.175,119.075,119.105
14/08/2023 16:30:00,119.015,119.160,119.010,119.130
14/08/2023 16:25:00,118.975,119.030,118.915,119.005
14/08/2023 16:20:00,119.065,119.135,118.965,118.970
14/08/2023 16:15:00,119.140,119.145,119.005,119.065
14/08/2023 16:10:00,119.105,119.180,119.085,119.140
14/08/2023 16:05:00,119.175,119.200,119.075,119.115
14/08/2023 16:00:00,119.125,119.225,119.120,119.175
14/08/2023 15:55:00,119.165,119.185,119.030,119.125
14/08/2023 15:50:00,119.120,119.200,119.105,119.175
14/08/2023 15:45:00,119.175,119.180,119.105,119.120
14/08/2023 15:40:00,119.070,119.180,119.060,119.170
14/08/2023 15:35:00,119.175,119.230,119.025,119.075
14/08/2023 15:30:00,119.120,119.255,119.095,119.165
14/08/2023 15:25:00,119.240,119.280,119.055,119.125
14/08/2023 15:20:00,119.300,119.315,119.205,119.240
14/08/2023 15:15:00,119.305,119.340,119.205,119.300
14/08/2023 15:10:00,119.305,119.350,119.230,119.300
14/08/2023 15:05:00,119.445,119.450,119.300,119.315
14/08/2023 15:00:00,119.420,119.475,119.385,119.445
14/08/2023 14:55:00,119.410,119.440,119.385,119.425
14/08/2023 14:50:00,119.390,119.450,119.350,119.400
14/08/2023 14:45:00,119.480,119.480,119.380,119.390
14/08/2023 14:40:00,119.515,119.530,119.480,119.480
14/08/2023 14:35:00,119.450,119.520,119.410,119.500
14/08/2023 14:30:00,119.510,119.560,119.450,119.455
14/08/2023 14:25:00,119.505,119.555,119.495,119.510
14/08/2023 14:20:00,119.475,119.560,119.475,119.495
14/08/2023 14:15:00,119.670,119.690,119.465,119.485
14/08/2023 14:10:00,119.775,119.780,119.675,119.675
14/08/2023 14:05:00,119.700,119.815,119.690,119.775
14/08/2023 14:00:00,119.495,119.735,119.495,119.690
14/08/2023 13:55:00,119.470,119.550,119.465,119.500
14/08/2023 13:50:00,119.555,119.580,119.465,119.465
14/08/2023 13:45:00,119.490,119.560,119.455,119.550
14/08/2023 13:40:00,119.500,119.520,119.465,119.495
14/08/2023 13:35:00,119.515,119.565,119.490,119.515
14/08/2023 13:30:00,119.595,119.595,119.505,119.515
14/08/2023 13:25:00,119.575,119.625,119.550,119.600
14/08/2023 13:20:00,119.525,119.580,119.495,119.575
14/08/2023 13:15:00,119.540,119.570,119.475,119.520
14/08/2023 13:10:00,119.570,119.615,119.530,119.540
14/08/2023 13:05:00,119.655,119.710,119.545,119.565
14/08/2023 13:00:00,119.500,119.660,119.490,119.655
14/08/2023 12:55:00,119.560,119.575,119.500,119.525
14/08/2023 12:50:00,119.510,119.610,119.510,119.550
14/08/2023 12:45:00,119.440,119.530,119.435,119.515
14/08/2023 12:40:00,119.500,119.500,119.410,119.430
14/08/2023 12:35:00,119.345,119.505,119.335,119.505
14/08/2023 12:30:00,119.470,119.480,119.325,119.345
14/08/2023 12:25:00,119.330,119.490,119.330,119.455
14/08/2023 12:20:00,119.310,119.400,119.275,119.335
14/08/2023 12:15:00,119.170,119.360,119.165,119.305
14/08/2023 12:10:00,119.285,119.320,119.155,119.155
14/08/2023 12:05:00,119.185,119.300,119.120,119.270
14/08/2023 12:00:00,119.290,119.315,119.185,119.200
14/08/2023 11:55:00,119.455,119.460,119.275,119.295
14/08/2023 11:50:00,119.490,119.550,119.445,119.465
14/08/2023 11:45:00,119.595,119.600,119.450,119.495
14/08/2023 11:40:00,119.645,119.690,119.585,119.590
14/08/2023 11:35:00,119.535,119.675,119.520,119.650
